# Torres Amat 1823 — dominio público (texto íntegro del Antiguo Testamento). Traducción de la Vulgata latina al español por
# don Félix Torres Amat (1772-1847), publicada entre 1823 y 1825.
# Source : module SWORD TorresAmat du projet OmarGonD/biblia-elim (reconstruction OCR de l'édition de 1882 conservée à Internet Archive,
# GPL-2.0-or-later ; le texte de Torres Amat lui-même est dominio público). Le module couvre 94 % des versets ; le
# texte contient des erratas résiduelles d'OCR et n'est pas révisé (versets perdus laissés en creux).
# Versification convertie Vulgate -> massorétique (BHSA, numérotation BHS : Deut 29:1, Isa 8:23, Joël 4 ch., Malachie
# 3 ch., etc.) : Psaumes Vulgate renumérotés (fusions 9/10,
# 113/114/115, 146/147 ; titres de psaumes conservés comme verset 1,
# convention BHSA), additions deutérocanoniques exclues (Daniel
# 3:24-90, 13-14 ; Esther Vulgate 10:4-13, 11-16), défauts OCR du
# module exclus (doublon 1 Rois 4, index des prophètes collé en
# Osée 1, Jérémie 1 perdu — copie numérotée de 2:1-7 mappée en
# Jérémie 2, secondes moitiés de versets). Calibré verset par
# verset contre la base BHSA ; voir scripts/extract_torres_amat.py.
# Format : nom_BHSA	chapitre	verset	texte_espagnol
Amos	1	1	Palabras de Amós, que fué un pastor de Thecue, y contienen la revelacion que tuvo en órden á Israél, en tiempo de Ozías, rey de Judá, y en tiempo de Jeroboun, hijo de Joas, rey de Israél, dos años antes del terremoto
Amos	1	2	Dijo pues: El Señor rugirá desde Sion, y hará oir su voz desde Jerusalem, y se marchitarán los mas hermosos pastos, ó praderías, y se agostarán las cimas del Carmelo
Amos	1	3	Esto dice el Señor: Despues de tres, cuatro y mas maldades que ha cometido Damasco, ya no la convertiré; pues ella con carros de trillar ha despedazado á los /sraelitas de Galaad
Amos	1	4	Yo entregaré pues á las llamas la casa? de Azael, y serán abrasados los palacios de Benadad
Amos	1	5	Y destruiré todo el poder de Damasco, y exterminaré los habitantes de las campiñas del ídolo, y al que empuña el cetro le arrojaré de la casa de las delicias; y el pueblo de Syria será trasportado á Cyrene, dice el Señor
Amos	1	6	Esto dice el Señor: Despues de tres, Cuatro y Mas maldades que ha cometido Gaza, ya no la convertiré; pues ella se ha llevado cautiva toda la gente de [sraél para encerrarla en Iduméa
Amos	1	7	Yo enviaré fuego contra los muros de Gaza, el cual reducirá á ceniza sus edificios
Amos	1	8	Y exterminaré á los moradores de Azoto, y al que empuña el cetro de Ascalon: y descargaré mi mano sobre AccaDE AMOS donde Jeroboam rey de Israél adoraba los ídolos. Algunos fijan ] el principio predijo á Jeroboam que si no desistia de su maldad, serian él y toda su familia sabe ni el tiempo ni el género de su muerte. La Iglesia celebra su memoria, al oficio de pastor; no se halla en ellas aquella viveza de imágenes y fuerza quiso hablar por la boea de un sencillo pastor, Algunos ven vaticinada ron: y aniquilaré los restos de los Philisthéos, dice el Señor Dios, J, Hsto dice el Señor: Despues de tres, cuatro y mas maldades de Tyro, ya no la convertiré 1%; pues ha encerrado en cautiverio, en la Iduméa, toda la gente de má pueblo, sin haberse acordado de la antiguo fraternal alianza
Amos	1	10	Yo enviaré fuego contra los muros de Tyro, el cual reducirá á cenizas sus edificios.!
Amos	1	11	Esto dice el Señor: Despues de tres, cuatro y mas maldades de Edom, ya no la convertiré, ó perdonaré; porque ha perseguido espada en mano á su hermano /sraél 5, y le ha negado la compasion que le debia tener, conservando contra él hasta el fin su ódio reconcentrado, y su indienacion
